Success (183):
datatype {urn:com:appian:types}WD_widget 5094
datatype {urn:com:appian:types}WD_bookmark 5096
datatype {urn:com:appian:types}WD_toDoItem 5098
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243262 115536 "WD_PM_LOG_TUTOR_SESSION"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243239 115537 "WD_PM_CHANGE_OF_FACULTY"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243227 115538 "WD_PM_ARCHIVUM_INTAKE_FORM"
content _a-0000defe-bf54-8000-9ba2-011c48011c48_243249 115539 "WD_PM_REQUEST_CONTRACT_COURSE_PERMIT"
content _a-0000def2-cb5b-8000-9ba2-011c48011c48_236667 115540 "WD_getPMByIdentifier"
content _a-0000de3a-f734-8000-3457-01ef9001ef90_6056 115541 "WD_chooseReport"
content _a-0000de3a-f734-8000-3457-01ef9001ef90_6077 115542 "WD_tab3"
content _a-0000de42-e0de-8000-3457-01ef9001ef90_6934 115543 "WD_tab4"
content _a-0000de3a-f734-8000-3457-01ef9001ef90_6073 115544 "WD_tab1"
content _a-0000de3a-f734-8000-3457-01ef9001ef90_6075 115545 "WD_tab2"
content _a-0000de3b-6558-8000-3457-01ef9001ef90_6091 115546 "WD_doDisplay"
content _a-0000df16-9c51-8000-9ba2-011c48011c48_252000 115547 "WD_appianLogo"
content _a-0000df16-9c51-8000-9ba2-011c48011c48_252001 115548 "WD_IMG_BILLBOARD_BACKGROUND_DEFAULT"
application _a-0000de2b-96d5-8000-3457-01ef9001ef90_4784 115549 "WD All Contents - Release 1.2.0"
tempoReport 5b06f1fc-928a-4bd7-8b43-c9486726b044 37 "Home"
tempoReport f51a6e78-5944-4800-a30a-a920ead10403 38 "Tab 3"
tempoReport dda75eee-02cf-46ea-83cb-94057e274e13 39 "Tab 4"
tempoReport 88bfd18e-2d4a-4a88-a1cf-61f8bb2dc56e 40 "Tab 1"
tempoReport a6f72e71-8f45-49e6-a1cb-a6d06e19ca5b 41 "Tab 2"
site 74202c14-165e-4471-aa2f-4f0d9959d75f 2 "Home"

Trace:
2017-07-07 21:59:58.295 DEBUG There are 3 data types out of 3 that have the same structure as the corresponding data types on the system. These types will not be updated: [{urn:com:appian:types}WD_widget, {urn:com:appian:types}WD_bookmark, {urn:com:appian:types}WD_toDoItem]
2017-07-07 21:59:58.297 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Begin transport.
2017-07-07 21:59:58.298 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 De-serializing object from XML.
2017-07-07 21:59:58.299 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Setting import properties.
2017-07-07 21:59:58.299 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Importing object references.
2017-07-07 21:59:58.299 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: datatypeRef[id=null]
2017-07-07 21:59:58.299 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: datatypeRef[id=null]
2017-07-07 21:59:58.299 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: datatypeRef[id=null]
2017-07-07 21:59:58.299 DEBUG dataStore _a-0000de29-c706-8000-3457-01ef9001ef90_4605 115399 Processing reference: ContentRole[name=readers,groupUuids=[_e-0000de3b-6558-8000-341f-011e94011e94_21],inherit=false,allowForAll=false]
2017-07-07 21:59:58.301 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Begin transport.
2017-07-07 21:59:58.301 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 De-serializing object from XML.
2017-07-07 21:59:58.302 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Setting import properties.
2017-07-07 21:59:58.302 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Importing object references.
2017-07-07 21:59:58.302 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Processing reference: Role[name=<null>,groupUuids=[_e-0000de3b-6558-8000-341f-011e94011e94_20]]
2017-07-07 21:59:58.304 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Begin transport.
2017-07-07 21:59:58.304 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 De-serializing object from XML.
2017-07-07 21:59:58.305 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Setting import properties.
